Country,Year,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,population,Country Code,tree_cover_extent_2000__ha,area__ha,tree_cover_loss__ha,gross_emissions_co2e_all_gases__Mg,pct_tree_cover_2000,pct_loss_vs_extent,co2_per_capita_calc,co2_growth_abs,co2_growth_prct,co2_change_pct,deforestation_pct,baseline_temp,temp_anomaly
Argentina,2013,38.6,-3.7,16.307397260273966,1.3597260273972602,45.2,81.7,9.970957716894983,189.538,4.451,4.84,87.487,91.338,4.581,4.2582454E7,ARG,3.906996944E7,2.779058337E8,376746.2904,8.742380746E7,14.058707915493462,0.9642861148856839,4.451082128803567,-1.8239999999999839,-0.9531672954923076,-0.9531672954923076,0.9642861148856839,15.75796676397934,0.5494304962946259
Argentina,2014,40.2,-3.2,16.000273972602727,1.8219178082191785,49.6,87.5,9.431448584474882,188.397,4.379,5.536,84.292,92.844,4.336,4.3024072E7,ARG,3.906996944E7,2.779058337E8,241118.4405,6.153954034E7,14.058707915493462,0.6171451986167718,4.378874226502782,-1.1410000000000196,-0.6019901022486396,-0.6019901022486396,0.6171451986167718,15.75796676397934,0.24230720862338728
Argentina,2015,38.6,-2.7,16.161369863013697,1.319726027397261,42.5,86.0,9.73478594368341,191.744,4.41,5.467,86.954,93.535,4.571,4.3477009E7,ARG,3.906996944E7,2.779058337E8,180227.8135,4.493697239E7,14.058707915493462,0.4612949948086778,4.410238984011067,3.3470000000000084,1.7765675674241033,1.7765675674241033,0.4612949948086778,15.75796676397934,0.40340309903435667
Argentina,2016,37.4,-1.8,15.430601092896168,1.7497267759562851,41.3,76.7,9.239736073163325,189.92,4.326,4.192,84.556,96.303,4.029,4.3900312E7,ARG,3.906996944E7,2.779058337E8,230312.7365,5.942100374E7,14.058707915493462,0.5894878849436849,4.32616515345039,-1.8240000000000123,-0.9512683578104197,-0.9512683578104197,0.5894878849436849,15.75796676397934,-0.3273656710831716
Argentina,2017,37.5,-1.0,15.941643835616425,1.7443835616438366,48.8,91.8,9.439888736681894,186.899,4.22,4.279,80.856,96.442,4.362,4.4288898E7,ARG,3.906996944E7,2.779058337E8,233945.0988,6.50466965E7,14.058707915493462,0.5987849546677302,4.219996623081477,-3.0209999999999866,-1.5906697556866023,-1.5906697556866023,0.5987849546677302,15.75796676397934,0.18367707163708502
Argentina,2018,37.8,-2.7,16.099452054794522,1.1210958904109591,44.3,92.5,9.37355243531202,180.599,4.044,4.356,74.392,96.123,4.369,4.4654876E7,ARG,3.906996944E7,2.779058337E8,172964.4366,4.596626738E7,14.058707915493462,0.44270430481299095,4.044328776100509,-6.300000000000011,-3.3708045521912977,-3.3708045521912977,0.44270430481299095,15.75796676397934,0.3414852908151822
Argentina,2019,36.3,-3.8,15.868219178082192,0.9353424657534246,40.3,77.0,9.620833203957378,178.508,3.969,2.143,74.847,95.606,4.141,4.4973468E7,ARG,3.906996944E7,2.779058337E8,145459.3897,4.108763549E7,14.058707915493462,0.3723048463689814,3.9691846757292546,-2.0909999999999798,-1.1578137198987704,-1.1578137198987704,0.3723048463689814,15.75796676397934,0.11025241410285247
Argentina,2020,36.7,-3.0,15.647814207650272,1.6098360655737707,40.9,77.4,9.764633189131748,165.121,3.654,3.224,67.319,89.083,3.508,4.519196E7,ARG,3.906996944E7,2.779058337E8,197404.201,5.144289499E7,14.058707915493462,0.505258140278699,3.6537693872980945,-13.387,-7.499383781119051,-7.499383781119051,0.505258140278699,15.75796676397934,-0.11015255632906751
Argentina,2021,37.4,-2.0,16.172876712328762,1.3032876712328771,41.3,74.2,9.725159216133939,191.108,4.218,4.51,86.529,93.073,4.671,4.5312283E7,ARG,3.906996944E7,2.779058337E8,201896.3445,6.389834585E7,14.058707915493462,0.5167558290775054,4.217576059895283,25.986999999999995,15.73815565554957,15.73815565554957,0.5167558290775054,15.75796676397934,0.41490994834942185
Argentina,2022,42.7,-2.9,15.623561643835606,1.684109589041095,49.1,88.6,9.436938203957375,204.081,4.494,4.78,99.135,92.908,5.063,4.5407904E7,ARG,3.906996944E7,2.779058337E8,232225.0975,7.503646248E7,14.058707915493462,0.5943825931490159,4.494393751360996,12.972999999999985,6.788308181761082,6.788308181761082,0.5943825931490159,15.75796676397934,-0.13440512014373418
Argentina,2023,38.0,-4.4,16.337534246575355,1.336438356164384,39.7,79.6,9.452335738203951,195.806,4.3,4.106,93.742,91.051,4.853,4.5538402E7,ARG,3.906996944E7,2.779058337E8,215940.8579,6.670084427E7,14.058707915493462,0.552702909664728,4.299799540616291,-8.274999999999977,-4.054762569763959,-4.054762569763959,0.552702909664728,15.75796676397934,0.5795674825960155
Brazil,2001,38.0,18.3,26.695068493150703,3.6194520547945217,19.5,42.8,9.938580974124811,346.166,1.963,49.427,241.795,23.186,15.227,1.763012E8,BRA,5.190566557E8,8.509071985E8,2746284.638,1.221138975E9,61.000383662872494,0.5290914985564263,1.963492023877319,null,null,null,0.5290914985564263,26.929076727299947,-0.23400823414924332
Brazil,2002,37.8,17.7,27.42876712328766,3.628767123287672,26.5,52.9,9.995336582952818,347.765,1.948,48.689,239.219,29.293,14.39,1.78503483E8,BRA,5.190566557E8,8.509071985E8,3506873.016,1.655445016E9,61.000383662872494,0.6756243229885243,1.948225290371505,1.5989999999999895,0.46191711491019305,0.46191711491019305,0.6756243229885243,26.929076727299947,0.49969039598771303
Brazil,2003,39.0,17.5,26.824931506849317,3.390136986301371,21.1,42.8,9.904996141552509,344.645,1.908,51.933,232.434,30.919,13.096,1.80622688E8,BRA,5.190566557E8,8.509071985E8,3248392.073,1.514612805E9,61.000383662872494,0.6258261092171561,1.9080936277506844,-3.1200000000000045,-0.8971575632970574,-0.8971575632970574,0.6258261092171561,26.929076727299947,-0.10414522045062924
Brazil,2004,38.8,16.9,26.734972677595614,4.2265027322404345,22.1,45.0,9.766959282027926,361.434,1.979,53.833,239.768,38.215,13.273,1.82675143E8,BRA,5.190566557E8,8.509071985E8,3848491.81,1.915734936E9,61.000383662872494,0.7414396420386754,1.9785614729202647,16.789000000000044,4.871389400687676,4.871389400687676,0.7414396420386754,26.929076727299947,-0.19410404970433248
Brazil,2005,38.7,18.4,26.96164383561644,3.957808219178083,20.2,43.6,9.60356258751903,364.371,1.973,50.948,240.221,39.619,14.349,1.84688101E8,BRA,5.190566557E8,8.509071985E8,3486212.816,1.837203778E9,61.000383662872494,0.671643986781846,1.972899163655378,2.936999999999955,0.8125964906455785,0.8125964906455785,0.671643986781846,26.929076727299947,0.03256710831649201
Brazil,2006,37.6,18.1,26.582191780821933,3.999452054794521,19.9,40.7,9.711092739726014,368.871,1.976,50.838,242.249,42.053,15.44,1.86653099E8,BRA,5.190566557E8,8.509071985E8,2876675.082,1.471021701E9,61.000383662872494,0.5542121559197646,1.9762382836193895,4.5,1.2350049811867603,1.2350049811867603,0.5542121559197646,26.929076727299947,-0.3468849464780135
Brazil,2007,39.8,18.1,27.41698630136989,3.350684931506851,21.7,47.9,10.080215281582946,390.573,2.071,54.989,256.003,43.246,17.2,1.8855231E8,BRA,5.190566557E8,8.509071985E8,2621699.451,1.273228936E9,61.000383662872494,0.5050892657304191,2.0714304693482672,21.701999999999998,5.883357596558136,5.883357596558136,0.5050892657304191,26.929076727299947,0.48790957406994195
Brazil,2008,39.3,16.7,26.82950819672132,4.468852459016393,21.1,46.1,9.800723003946564,412.638,2.168,55.315,267.239,51.303,18.884,1.90367297E8,BRA,5.190566557E8,8.509071985E8,2444092.62,1.241345048E9,61.000383662872494,0.4708720316289743,2.167588690404109,22.064999999999998,5.649392047069313,5.649392047069313,0.4708720316289743,26.929076727299947,-0.09956853057862602
Brazil,2009,36.7,16.7,26.6572602739726,4.027123287671234,19.1,44.3,9.710028493150682,389.775,2.029,43.586,262.705,40.959,19.031,1.92079956E8,BRA,5.190566557E8,8.509071985E8,1817715.112,9.307710452E8,61.000383662872494,0.35019589712198734,2.029233076250809,-22.863,-5.5406918412749135,-5.5406918412749135,0.35019589712198734,26.929076727299947,-0.2718164533273466
Brazil,2010,39.3,17.7,27.51917808219177,3.1835616438356182,21.7,47.5,10.086510875190267,440.269,2.273,56.688,286.08,55.049,21.288,1.93701931E8,BRA,5.190566557E8,8.509071985E8,2688727.173,1.337904985E9,61.000383662872494,0.5180026387242799,2.2729200360940127,50.49400000000003,12.954653325636588,12.954653325636588,0.5180026387242799,26.929076727299947,0.590101354891825
Brazil,2011,39.7,18.5,26.656164383561613,4.198904109589041,23.1,43.6,9.468434687975652,462.58,2.369,62.292,303.885,53.101,22.845,1.95284736E8,BRA,5.190566557E8,8.509071985E8,1923161.102,9.894790163E8,61.000383662872494,0.37051082591483664,2.3687463212690623,22.31099999999998,5.067583681794541,5.067583681794541,0.37051082591483664,26.929076727299947,-0.2729123437383336
Brazil,2012,39.1,18.8,27.286338797814217,2.8169398907103824,18.8,47.2,10.242204310868251,498.309,2.531,61.016,327.734,63.397,24.998,1.96876114E8,BRA,5.190566557E8,8.509071985E8,2918559.517,1.458966082E9,61.000383662872494,0.5622814937348274,2.5310790114437145,35.72900000000004,7.723853171343342,7.723853171343342,0.5622814937348274,26.929076727299947,0.3572620705142704
Brazil,2013,38.3,18.3,26.87095890410959,4.6800000000000015,20.9,44.6,9.526495372907155,532.418,2.682,65.604,342.338,74.704,26.652,1.98478291E8,BRA,5.190566557E8,8.509071985E8,1945477.871,9.886722882E8,61.000383662872494,0.37481031206050675,2.682499921364196,34.10899999999998,6.844949619613527,6.844949619613527,0.37481031206050675,26.929076727299947,-0.058117823190357853
Brazil,2014,39.4,18.8,27.02383561643836,3.585753424657535,18.6,44.6,9.843519391171993,557.901,2.788,69.034,356.753,81.286,26.908,2.00085126E8,BRA,5.190566557E8,8.509071985E8,2692910.39,1.422902205E9,61.000383662872494,0.5188085655829497,2.7883182081210776,25.482999999999947,4.786276947811663,4.786276947811663,0.5188085655829497,26.929076727299947,0.09475888913841501
